time 839, 644 running, numprocesses=1, numholes=1, memusage=15%
time 841, 559 running, numprocesses=2, numholes=1, memusage=66%
time 843, 644 running, numprocesses=2, numholes=1, memusage=66%
time 847, 559 running, numprocesses=2, numholes=1, memusage=66%
time 851, 541 running, numprocesses=3, numholes=1, memusage=79%
time 853, 541 running, numprocesses=3, numholes=1, memusage=79%
time 857, 159 running, numprocesses=1, numholes=1, memusage=91%
time 865, 376 running, numprocesses=1, numholes=1, memusage=83%
time 867, 402 running, numprocesses=2, numholes=1, memusage=87%
time 869, 376 running, numprocesses=2, numholes=1, memusage=87%
time 873, 402 running, numprocesses=2, numholes=1, memusage=87%
time 876, 493 running, numprocesses=2, numholes=0, memusage=100%
time 884, 436 running, numprocesses=2, numholes=1, memusage=26%
time 886, 788 running, numprocesses=3, numholes=1, memusage=42%
time 888, 908 running, numprocesses=4, numholes=1, memusage=87%
time 890, 436 running, numprocesses=4, numholes=1, memusage=87%
time 893, 164 running, numprocesses=1, numholes=1, memusage=81%
time 895, 788 running, numprocesses=2, numholes=1, memusage=97%
time 899, 908 running, numprocesses=2, numholes=2, memusage=61%
time 903, 164 running, numprocesses=2, numholes=1, memusage=97%
time 907, 706 running, numprocesses=2, numholes=2, memusage=85%
time 909, 706 running, numprocesses=2, numholes=2, memusage=85%
time 913, 620 running, numprocesses=2, numholes=2, memusage=76%
time 921, 1001 running, numprocesses=2, numholes=2, memusage=56%
time 929, 185 running, numprocesses=3, numholes=2, memusage=57%
time 931, 185 running, numprocesses=3, numholes=2, memusage=57%
time 935, 564 running, numprocesses=1, numholes=1, memusage=76%
time 937, 564 running, numprocesses=1, numholes=1, memusage=76%
time 941, 406 running, numprocesses=2, numholes=1, memusage=83%
time 949, 238 running, numprocesses=3, numholes=1, memusage=92%
time 957, 723 running, numprocesses=3, numholes=2, memusage=39%
time 959, 723 running, numprocesses=3, numholes=2, memusage=39%
time 963, 799 running, numprocesses=3, numholes=2, memusage=77%
time 971, 456 running, numprocesses=3, numholes=2, memusage=91%
time 973, 475 running, numprocesses=3, numholes=2, memusage=44%
time 975, 456 running, numprocesses=3, numholes=2, memusage=91%
time 979, 155 running, numprocesses=4, numholes=1, memusage=99%
time 981, 898 running, numprocesses=4, numholes=1, memusage=37%
time 983, 870 running, numprocesses=5, numholes=1, memusage=90%
time 985, 369 running, numprocesses=4, numholes=1, memusage=94%
time 987, 475 running, numprocesses=4, numholes=1, memusage=52%
time 991, 155 running, numprocesses=4, numholes=1, memusage=52%
time 995, 898 running, numprocesses=5, numholes=1, memusage=65%
time 999, 870 running, numprocesses=4, numholes=1, memusage=77%
time 1003, 281 running, numprocesses=4, numholes=1, memusage=45%
time 1005, 369 running, numprocesses=4, numholes=1, memusage=94%
time 1009, 281 running, numprocesses=4, numholes=1, memusage=45%
time 1013, 329 running, numprocesses=5, numholes=1, memusage=63%
time 1021, 48 running, numprocesses=6, numholes=1, memusage=65%
time 1023, 48 running, numprocesses=6, numholes=1, memusage=65%
time 1027, 193 running, numprocesses=7, numholes=1, memusage=66%
time 1028, 257 running, numprocesses=1, numholes=1, memusage=79%
time 1036, 120 running, numprocesses=1, numholes=1, memusage=79%
time 1038, 120 running, numprocesses=1, numholes=1, memusage=79%
time 1042, 633 running, numprocesses=1, numholes=1, memusage=56%
time 1050, 29 running, numprocesses=1, numholes=1, memusage=45%
time 1052, 29 running, numprocesses=1, numholes=1, memusage=45%
time 1056, 313 running, numprocesses=1, numholes=1, memusage=56%
time 1062, 553 running, numprocesses=1, numholes=1, memusage=5%
time 1064, 262 running, numprocesses=2, numholes=1, memusage=38%
time 1066, 553 running, numprocesses=2, numholes=1, memusage=38%
time 1070, 262 running, numprocesses=2, numholes=1, memusage=38%
time 1074, 465 running, numprocesses=3, numholes=1, memusage=56%
time 1076, 465 running, numprocesses=3, numholes=1, memusage=56%
time 1080, 760 running, numprocesses=2, numholes=1, memusage=67%
time 1087, 945 running, numprocesses=2, numholes=1, memusage=45%
time 1089, 945 running, numprocesses=2, numholes=1, memusage=45%
time 1093, 894 running, numprocesses=2, numholes=1, memusage=70%
time 1101, 158 running, numprocesses=2, numholes=1, memusage=67%
time 1109, 856 running, numprocesses=2, numholes=1, memusage=73%
time 1111, 327 running, numprocesses=2, numholes=0, memusage=100%
time 1113, 82 running, numprocesses=2, numholes=1, memusage=31%
time 1115, 673 running, numprocesses=3, numholes=1, memusage=45%
time 1117, 293 running, numprocesses=4, numholes=1, memusage=48%
time 1119, 856 running, numprocesses=1, numholes=1, memusage=68%
time 1123, 327 running, numprocesses=1, numholes=1, memusage=95%
time 1127, 49 running, numprocesses=1, numholes=1, memusage=48%
time 1129, 82 running, numprocesses=2, numholes=1, memusage=74%
time 1133, 673 running, numprocesses=3, numholes=1, memusage=88%
time 1137, 293 running, numprocesses=4, numholes=1, memusage=91%
time 1141, 129 running, numprocesses=3, numholes=2, memusage=84%
time 1143, 49 running, numprocesses=3, numholes=2, memusage=65%
time 1147, 129 running, numprocesses=3, numholes=2, memusage=84%
time 1151, 490 running, numprocesses=3, numholes=2, memusage=56%
